
 ======= APC Propeller Performance Predictions =========================

  Given an RPM, the velocity is determined that yields peak efficiency.

  Be wary of the highest 1 or 2 RPM data points.  The computations inherently tend toward 
  instability at the highest RPM's where solutions generally still appear to be available.
  For example, the following props contain divergent data at the upper RPM limits:
      11x8     (highest RPM)
      22x11E   (2 highest RPM's')


           ========== 105x45 ==========

       RPM       VMPH       EFF      HP
      3000        38        0.85    0.1170
      4000        53        0.86    0.2380
      5000        66        0.88    0.4640
      6000        79        0.89    0.8040
      7000        92        0.89    1.2880
      8000       105        0.89    1.9750
      9000       119        0.89    2.8910
     10000       132        0.89    4.1210
     11000       145        0.88    6.1080
     13000       162        0.73   15.9690
 


           ========== 17x13N ==========

       RPM       VMPH       EFF      HP
      1000        13        0.82    0.0040
      2000        27        0.82    0.0350
      3000        40        0.85    0.1140
      4000        53        0.87    0.2670
      5000        70        0.88    0.4550
      6000        84        0.89    0.7910
      7000        98        0.90    1.2670
      8000       112        0.90    1.9330
      9000       126        0.90    2.8330
     10000       140        0.90    4.0810
     13000       173        0.72   16.1590
 


           ========== 17x18 ==========

       RPM       VMPH       EFF      HP
      1000        17        0.87    0.0080
      2000        33        0.87    0.0630
      3000        50        0.88    0.2100
      4000        67        0.88    0.4950
      5000        84        0.89    0.9750
      6000       101        0.89    1.7030
      7000       123        0.89    2.4910
      8000       141        0.89    3.8460
      9000       158        0.89    5.7320
     10000       176        0.89    8.4700
     11000       202        0.82   13.7060
 


           ========== 17x4W ==========

       RPM       VMPH       EFF      HP
      1000         4        0.47    0.0020
      2000         9        0.50    0.0140
      3000        14        0.56    0.0440
      4000        19        0.59    0.0980
      5000        23        0.63    0.1820
      6000        28        0.63    0.3150
      7000        33        0.64    0.5040
      8000        38        0.64    0.7570
      9000        43        0.64    1.0980
     10000        50        0.64    1.4620
     11000        55        0.65    2.0200
     12000        57        0.56    3.5510
     13000        59        0.42    6.9180
 


           ========== 17x6 ==========

       RPM       VMPH       EFF      HP
      1000         6        0.60    0.0020
      2000        12        0.61    0.0170
      3000        19        0.67    0.0520
      4000        25        0.70    0.1180
      5000        33        0.73    0.2070
      6000        40        0.76    0.3500
      7000        47        0.76    0.5620
      8000        53        0.76    0.8550
      9000        60        0.77    1.2410
     10000        67        0.77    1.7550
     11000        74        0.76    2.4630
     12000        81        0.68    4.0250
     13000        79        0.57    7.4650
 


           ========== 17x6E ==========

       RPM       VMPH       EFF      HP
      1000         6        0.61    0.0020
      2000        13        0.61    0.0140
      3000        19        0.65    0.0480
      4000        25        0.69    0.1080
      5000        33        0.72    0.1900
      6000        39        0.74    0.3210
      7000        46        0.76    0.5030
      8000        53        0.78    0.7500
      9000        59        0.78    1.0870
     10000        69        0.78    1.3840
     11000        76        0.79    1.9100
     12000        79        0.73    3.3160
     13000        82        0.63    5.3690
 


           ========== 17x7E ==========

       RPM       VMPH       EFF      HP
      1000         7        0.66    0.0020
      2000        14        0.66    0.0170
      3000        22        0.69    0.0530
      4000        29        0.73    0.1190
      5000        36        0.76    0.2270
      6000        44        0.78    0.3860
      7000        54        0.80    0.5480
      8000        61        0.81    0.8210
      9000        69        0.81    1.1900
     10000        77        0.81    1.6770
     11000        84        0.81    2.3200
     12000        92        0.75    3.7030
     13000        96        0.67    5.9230
 


           ========== 17x8 ==========

       RPM       VMPH       EFF      HP
      1000         8        0.67    0.0030
      2000        16        0.69    0.0210
      3000        24        0.74    0.0670
      4000        32        0.77    0.1550
      5000        42        0.79    0.2670
      6000        51        0.81    0.4560
      7000        60        0.82    0.7330
      8000        68        0.82    1.1110
      9000        77        0.82    1.6150
     10000        85        0.82    2.2900
     11000        94        0.82    3.2270
     12000        99        0.74    5.7000
     13000       106        0.64    9.2540
 


           ========== 17x8E ==========

       RPM       VMPH       EFF      HP
      1000         8        0.69    0.0020
      2000        16        0.69    0.0190
      3000        24        0.73    0.0620
      4000        32        0.76    0.1400
      5000        42        0.78    0.2430
      6000        51        0.80    0.4140
      7000        59        0.82    0.6520
      8000        68        0.83    0.9800
      9000        76        0.83    1.4230
     10000        85        0.84    2.0070
     11000        93        0.84    2.7830
     12000       102        0.77    4.4540
     13000       110        0.70    6.3500
 


           ========== 17x8N ==========

       RPM       VMPH       EFF      HP
      1000         8        0.71    0.0030
      2000        17        0.71    0.0210
      3000        26        0.76    0.0670
      4000        34        0.79    0.1530
      5000        45        0.81    0.2660
      6000        54        0.83    0.4540
      7000        63        0.84    0.7190
      8000        75        0.85    0.9580
      9000        85        0.85    1.3930
     10000        94        0.85    1.9810
     11000       103        0.85    2.7830
     12000       107        0.79    5.0300
 


           ========== 181x10 ==========

       RPM       VMPH       EFF      HP
      1000         9        0.71    0.0040
      2000        19        0.74    0.0340
      3000        28        0.78    0.1080
      4000        40        0.81    0.2250
      5000        50        0.83    0.4320
      6000        60        0.83    0.7530
      7000        70        0.84    1.2140
      8000        80        0.84    1.8490
